town,county_or_region,country,osm_type,osm_id,display_name,lat,lon
Warrington,Cheshire,United Kingdom,relation,147278,"Warrington, United Kingdom",0.0,0.0
St Helens,Merseyside,United Kingdom,relation,173478,"St Helens, United Kingdom",0.0,0.0
Newport,Wales,United Kingdom,relation,335184,"Newport, United Kingdom",0.0,0.0
Richmond,North Yorkshire,United Kingdom,relation,7759387,"Richmond, North Yorkshire, York and North Yorkshire, England, United Kingdom",54.403068,-1.7374542
